waveform,frequency_hz,sample_rate_hz,samples_per_cycle,filter_cutoff_hz,band_upper_hz,raw_error_rms_mv,filtered_error_rms_mv,filter_delta_rms_mv,raw_peak_v,raw_min_v,filtered_peak_v,filtered_min_v
sine,1,1000000,1000000,50,1,0.232608274615783,3.33621490399372,3.34475640582069,3.15010989010989,0.14989010989011,3.14885798511539,0.151142014884611
sine,10,1000000,100000,100,10,0.232590160590586,25.9603719719571,25.9629677317748,3.15010989010989,0.14989010989011,3.12043782836908,0.179561882635788
sine,100,1000000,10000,1000,100,0.229974238671357,26.0748961565915,26.0797238484013,3.15010989010989,0.14989010989011,3.12027453988554,0.179725158010895
sine,1000,1000000,1000,10000,1000,0.231668309257246,27.2432014940824,27.2502940745406,3.15010989010989,0.14989010989011,3.1186533749794,0.181346162339377
sine,10000,1000000,100,100000,10000,0.227239227260882,34.2506975414111,34.257814465373,3.15010989010989,0.14989010989011,3.10228927617711,0.197700668532493
sine,50000,1000000,20,450000,50000,0.279231921787064,92.8618733202634,92.9371581879822,3.15010989010989,0.14989010989011,3.01948989259344,0.277747642099163
sine,100000,1000000,10,450000,100000,0.304219236550682,302.398033780494,302.613008270681,3.07677655677656,0.223223443223443,2.70819127208978,0.470729934840207
square,1,1000000,1000000,50,1,0.10989010989021,107.882351968938,107.89688890505,3.15010989010989,0.14989010989011,3.15010989010848,0.149890109890198
square,10,1000000,100000,200,10,0.10989010989021,228.906803919969,228.937741055895,3.15010989010989,0.14989010989011,3.15010989010954,0.149890109890132
square,100,1000000,10000,2000,100,0.109890109890213,229.5486155741,229.579639907027,3.15010989010989,0.14989010989011,3.15010989010985,0.149890109890112
square,1000,1000000,1000,20000,1000,0.10989010989021,235.532537433264,235.564400369025,3.15010989010989,0.14989010989011,3.15010989010989,0.14989010989011
square,10000,1000000,100,200000,10000,0.10989010989021,281.807338378982,281.847536236449,3.15010989010989,0.14989010989011,3.15010989010989,0.14989010989011
square,50000,1000000,20,450000,50000,0.10989010989021,436.1433557547,436.214057106324,3.15010989010989,0.14989010989011,3.1501031455678,0.150020295330199
square,100000,1000000,10,450000,100000,0.10989010989021,633.354514325711,633.451290291423,3.15010989010989,0.14989010989011,3.14679272393488,0.20505179790835
triangle,1,1000000,1000000,50,1,0.232639864713221,2.80256374979724,2.81235093381046,3.15010989010989,0.14989010989011,3.13572905131852,0.178651787579459
triangle,10,1000000,100000,150,10,0.23263976713797,16.5396340788066,16.5413812768351,3.15010989010989,0.14989010989011,3.10228613594542,0.245537661238293
triangle,100,1000000,10000,1500,100,0.232607066338151,16.6412977673891,16.6421153059355,3.15010989010989,0.14989010989011,3.10208357688769,0.245942736440235
triangle,1000,1000000,1000,15000,1000,0.232983158840179,17.6432732114856,17.6508780058785,3.15010989010989,0.14989010989011,3.10013760971548,0.249839173291266
triangle,10000,1000000,100,150000,10000,0.237276699496479,27.3472979172436,27.3197694430218,3.15010989010989,0.14989010989011,3.08485859381477,0.280392821981832
triangle,50000,1000000,20,450000,50000,0.243527767596564,100.476617512287,100.556210249119,3.15010989010989,0.14989010989011,3.00950915737498,0.431091575376039
triangle,100000,1000000,10,450000,100000,0.205258985000856,279.114556448388,279.099859897568,3.15010989010989,0.14989010989011,2.8706882550086,0.705757113637468
