case_label,waveform,recommended_filter,sample_rate_hz,frequency_hz,band_upper_hz,samples_per_cycle,filter_order,filter_cutoff_hz,raw_error_rms_mv,filtered_error_rms_mv,raw_vpp,filtered_vpp
Sine 50 kHz,sine,High active LPF 225 kHz,1000000,50000,50000,20,4,225000,0.249070727009013,0.138447509051807,2.90029304029304,2.90048620957853
AM 30 kHz carrier,am,Mid active LPF 125 kHz,1000000,30000,31500,33.3333333333333,4,125000,0.237847728410987,0.125415790332002,2.8970695970696,2.89618494360435
FM 30 kHz carrier,fm,Mid active LPF 125 kHz,1000000,30000,38700,33.3333333333333,4,125000,0.236298363276884,0.186229697301393,2.90029304029304,2.90032891872563
Triangle 20 kHz,triangle,Mid active LPF 125 kHz,1000000,20000,20000,50,4,125000,0.203868449886239,22.4521594397619,2.90029304029304,2.80983536122261
Square 10 kHz,square,Mid active LPF 125 kHz,1000000,10000,10000,100,4,125000,0.146520146520308,239.380237726371,2.90029304029304,3.29602886484559
Sawtooth 10 kHz,sawtooth,Mid active LPF 125 kHz,1000000,10000,10000,100,4,125000,0.203996748706429,168.192405126935,2.90029304029304,3.12195943280512
Sinc 100 kHz BW,sinc,High active LPF 225 kHz,1000000,100000,100000,10,4,225000,0.218902177449194,0.119415659421861,1.73340659340659,1.7335532820428
Sweep 1 Hz to 50 kHz,sweep,Mid active LPF 125 kHz,1000000,50000,50000,20,4,125000,0.233113476082617,0.168443972910491,2.90029304029304,2.90050038288407
Arbitrary 50 kHz BW,arbitrary,Mid active LPF 125 kHz,1000000,50000,50000,20,4,125000,0.230160856063235,0.403105535124298,2.88175824175824,2.881457296803
Sine 100 kHz,sine,High active LPF 225 kHz,1000000,100000,100000,10,4,225000,0.22711512634518,0.909539697131933,2.75846153846154,2.76757940907398
AM 50 kHz carrier,am,High active LPF 225 kHz,1000000,50000,52500,20,4,225000,0.256536491744799,0.171002417071613,2.8970695970696,2.89676678075396
FM 50 kHz carrier,fm,High active LPF 225 kHz,1000000,50000,62000,20,4,225000,0.222189104703474,0.20232041398464,2.90029304029304,2.90084746098014
Triangle 50 kHz,triangle,High active LPF 225 kHz,1000000,50000,50000,20,4,225000,0.208823337929299,46.1067835892661,2.90029304029304,2.788320794095
Sweep 1 Hz to 100 kHz,sweep,High active LPF 225 kHz,1000000,100000,100000,10,4,225000,0.232937678906085,0.203395520594709,2.90029304029304,2.90492861303388
